_id,id,topic,question,options[0],options[1],options[2],options[3],answer
681da739c9e12ad7969161a8,1,form_handling,Which React hook is commonly used to manage form data?,useEffect,useState,useRef,useReducer,useState
681da739c9e12ad7969161a9,2,form_handling,What event is used to detect typing in an input field?,onClick,onSubmit,onChange,onBlur,onChange
681da739c9e12ad7969161aa,3,form_handling,How do you prevent default form submission in React?,e.preventForm(),e.stopDefault(),e.preventDefault(),return false,e.preventDefault()
681da739c9e12ad7969161ab,4,form_handling,Which attribute is essential for controlled components?,value and onChange,defaultChecked,autoFocus,name,value and onChange
681da739c9e12ad7969161ac,5,form_handling,What happens if you don’t pass a value to an input element?,It crashes the app,It becomes uncontrolled,It disables the field,It triggers a warning,It becomes uncontrolled
681da739c9e12ad7969161ad,6,form_handling,How do you update a single object field in state?,"setState({...object, field: newValue})",useEffect,direct assignment,replace whole object,"setState({...object, field: newValue})"
681da739c9e12ad7969161ae,7,form_handling,What type of input requires the 'checked' attribute for controlled behavior?,text,checkbox,email,date,checkbox
681da739c9e12ad7969161af,8,form_handling,How do you create multiple input fields from an array?,Use map(),Use a loop in render,Use a template,Use DOM APIs,Use map()
681da739c9e12ad7969161b0,9,form_handling,What hook is used to keep a reference to an input field?,useState,useRef,useMemo,useCallback,useRef
681da739c9e12ad7969161b1,10,form_handling,Which input type is used for selecting multiple values?,text,radio,select multiple,checkbox,select multiple
681da739c9e12ad7969161b2,11,form_handling,What’s a common way to submit a form on button click?,onClick on a submit button,useRef,window.submit(),form.autoSubmit(),onClick on a submit button
681da739c9e12ad7969161b3,12,form_handling,How do you reset a form after successful submission?,Clear state,Reload window,Use form.reset(),Remove inputs,Clear state
681da739c9e12ad7969161b4,13,form_handling,How do you bind a dynamic field name to state?,Use [e.target.name] in setState,Use fixed keys,Hardcode all fields,Avoid state binding,Use [e.target.name] in setState
681da739c9e12ad7969161b5,14,form_handling,Which type of component has its form inputs tied to React state?,Controlled,Uncontrolled,Hybrid,Legacy,Controlled
681da739c9e12ad7969161b6,15,form_handling,What’s the default behavior of form submit in HTML?,Refresh the page,Call API,Log values,Send alert,Refresh the page
681da739c9e12ad7969161b7,16,form_handling,Which function is typically triggered when a user submits a form?,handleClick,handleSubmit,handleChange,handleFocus,handleSubmit
681da739c9e12ad7969161b8,17,form_handling,How do you control a radio button in React?,Using checked and onChange,Using value only,Using label,Using select,Using checked and onChange
681da739c9e12ad7969161b9,18,form_handling,What is the recommended way to store multiple form fields in state?,Use one object,Use multiple useState hooks,Use localStorage,Use session,Use one object
681da739c9e12ad7969161ba,19,form_handling,How do you manage a dynamic number of input fields?,Map over an array in state,Hardcode fields,Use DOM APIs,Use nested functions,Map over an array in state
681da739c9e12ad7969161bb,20,form_handling,"In a controlled form, where is the input value stored?",React state,DOM,Props,Ref,React state
681da739c9e12ad7969161bc,21,form_handling,Why is 'name' attribute important in input elements?,To identify the field during change,For CSS styling,To submit data directly,To make the field readonly,To identify the field during change
681da739c9e12ad7969161bd,22,form_handling,What is the primary purpose of the 'onChange' event?,To update the component state,To style the input,To log the field name,To fetch data,To update the component state
681da739c9e12ad7969161be,23,form_handling,What problem can occur if form inputs are uncontrolled?,Harder to validate and manage,Faster rendering,State overuse,React crash,Harder to validate and manage
681da739c9e12ad7969161bf,24,form_handling,Which hook is best for focusing an input on mount?,useRef,useState,useEffect,useContext,useRef
681da739c9e12ad7969161c0,25,form_handling,How do you bind a text input value to state?,Set value to state variable and update with onChange,Use ref only,Use useMemo,UseEffect with timeout,Set value to state variable and update with onChange
681da7d6c9e12ad7969161c2,26,validation,What is a common way to show form validation errors in React?,Use state to store error messages,Use regex only,Show alerts,Reload the form,Use state to store error messages
681da7d6c9e12ad7969161c3,27,validation,Which hook is most useful for managing input validation errors?,useState,useEffect,useRef,useMemo,useState
681da7d6c9e12ad7969161c4,28,validation,When should you validate input fields in a form?,onChange or onSubmit,only on mount,only after page reload,onHover,onChange or onSubmit
681da7d6c9e12ad7969161c5,29,validation,How can you prevent form submission if validation fails?,Use e.preventDefault() and check errors,Disable JavaScript,Hide the button,Ignore errors,Use e.preventDefault() and check errors
681da7d6c9e12ad7969161c6,30,validation,How should you show a required field error?,Check if input is empty and show message,Use regex for all fields,Disable the input,Use CSS only,Check if input is empty and show message
681da7d6c9e12ad7969161c7,31,validation,What is the best way to display validation errors in JSX?,Conditional rendering based on error state,Use alert(),Use console.log,Use browser popup,Conditional rendering based on error state
681da7d6c9e12ad7969161c8,32,validation,What happens if you submit a form with empty required fields?,Custom validation must prevent it,It auto submits,App crashes,It disables inputs,Custom validation must prevent it
681da7d6c9e12ad7969161c9,33,validation,Which of the following should be validated without regex?,Empty fields,Email format,Password strength,Phone number pattern,Empty fields
681da7d6c9e12ad7969161ca,34,validation,What is a good UX pattern for input validation?,Show error only after user interaction,Show error before user types,Always show errors,Use popups for all errors,Show error only after user interaction
681da7d6c9e12ad7969161cb,35,validation,Where should error messages be displayed in a form?,Near the relevant field,In the console,In the footer,In browser alert,Near the relevant field
681da7d6c9e12ad7969161cc,36,validation,What should you do if a field is optional?,Skip validation if empty,Validate as required,Remove the field,Show warning,Skip validation if empty
681da7d6c9e12ad7969161cd,37,validation,Which state structure is suitable for tracking multiple field errors?,An object with keys for each field,A single boolean,An array only,Nested useState,An object with keys for each field
681da7d6c9e12ad7969161ce,38,validation,What visual cue is commonly used to show input errors?,Red border or message,Background music,Pop-up window,Link to homepage,Red border or message
681da7d6c9e12ad7969161cf,39,validation,What happens if you validate fields on every keystroke?,User gets real-time feedback,Form resets,Browser crashes,Errors are ignored,User gets real-time feedback
