_id,id,topic,question,options[0],options[1],options[2],options[3],options[4],answer
a1b2c3d4e5f6012345678901,1,props,What does 'props' stand for in React?,Properties,Prototypes,Processes,Provisions,,Properties
a1b2c3d4e5f6012345678902,2,props,Are props mutable in React?,Yes,No,Sometimes,Only in class components,,No
a1b2c3d4e5f6012345678903,3,props,How are props passed in React?,As component attributes,As function arguments,Via state,With useEffect,,As component attributes
a1b2c3d4e5f6012345678904,4,props,What is the children prop in React used for?,Passing elements,Passing text,Receiving input,Sending data to API,,Passing elements
a1b2c3d4e5f6012345678905,5,props,Which of the following accesses props in a functional component?,props,this.props,useProps,getProps(),,props
a1b2c3d4e5f6012345678906,6,props,Can you use props inside a class component?,Yes,No,Only with hooks,Only for children,,Yes
a1b2c3d4e5f6012345678907,7,props,What happens if a required prop is missing?,Component may break,Component won’t render,Nothing,It will warn and crash,,Component may break
a1b2c3d4e5f6012345678908,8,props,How do you set default values for props?,defaultProps,initialProps,setProps,propTypes,,defaultProps
a1b2c3d4e5f6012345678909,9,props,Can props be functions?,Yes,No,Only in classes,Only in arrays,,Yes
a1b2c3d4e5f6012345678910,10,props,What is the children prop used for?,Nested content,Styling,Props validation,State control,,Nested content
a1b2c3d4e5f6012345678911,11,props,How do you pass JSX as a child?,Wrap JSX inside component tags,Pass as function,Use `useJSX`,Via `innerHTML`,,Wrap JSX inside component tags
a1b2c3d4e5f6012345678912,12,props,Can props be updated by a child component?,No,Yes,Only using hooks,Only once,,No
a1b2c3d4e5f6012345678913,13,props,What’s the output of `<Greeting name='John' />` if Greeting returns `Hello {props.name}`?,Hello John,Hello,name,undefined,,Hello John
a1b2c3d4e5f6012345678914,14,props,Which prop lets you pass components as children?,children,component,jsx,nested,,children
a1b2c3d4e5f6012345678915,15,props,Which of these best explains why props are useful?,They help make components reusable,They update automatically,They replace state,They reduce performance,,They help make components reusable
a1b2c3d4e5f6012345678916,16,props,How can you render a prop value inside JSX?,{props.value},(props.value),[props.value],<props.value>,,{props.value}
